,ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Registration Year,Insurance Validity,Fuel Type,Seats,Ownership,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,City
783,Petrol,Sedan,20000,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2022,3900000.0,2022,Third Party insurance,Petrol,5,First Owner,Automatic,2022,18.9,1332.0,82bhp@6000rpm,250.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
784,Diesel,Sedan,102407,Manual,1,Maruti,Maruti Ciaz,2018,796000.0,2018,Third Party,Diesel,5,First Owner,Manual,2018,28.09,1248.0,82bhp@6000rpm,200.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
785,Petrol,Hatchback,53606,Manual,1,Hyundai,Hyundai i20,2015,636000.0,2015,Zero Dep,Petrol,5,First Owner,Manual,2015,18.6,1197.0,82bhp@6000rpm,114.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
786,Diesel,SUV,90000,Manual,1,Skoda,Skoda Yeti,2015,1400000.0,2015,Third Party insurance,Diesel,5,First Owner,Manual,2015,17.67,1968.0,82bhp@6000rpm,320.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
787,Petrol,Hatchback,44253,Manual,2,Maruti,Maruti Baleno,2016,615000.0,2017,Comprehensive,Petrol,5,Second Owner,Manual,2016,21.4,1197.0,82bhp@6000rpm,115.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
788,Cng,Minivans,40000,Manual,1,Maruti,Maruti Eeco,2021,500000.0,2021,Third Party insurance,CNG,5,First Owner,Manual,2021,20.88,1196.0,82bhp@6000rpm,85.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
789,Petrol,Hatchback,34702,Manual,1,Tata,Tata Tiago,2021,718000.0,2021,Third Party,Petrol,5,First Owner,Manual,2021,19.01,1199.0,82bhp@6000rpm,113.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
790,Petrol,Hatchback,42762,Manual,1,Maruti,Maruti Swift,2012,436000.00000000006,2012,Third Party,Petrol,5,First Owner,Manual,2012,22.38,1197.0,82bhp@6000rpm,113.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
791,Petrol,Hatchback,50000,Manual,2,Maruti,Maruti Alto K10,2015,280000.0,2015,Third Party insurance,Petrol,5,Second Owner,Manual,2015,23.95,998.0,82bhp@6000rpm,90.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
792,Petrol,MUV,30000,Automatic,1,Renault,Renault Triber,2022,780000.0,2022,Third Party insurance,Petrol,7,First Owner,Automatic,2022,18.2,999.0,82bhp@6000rpm,96.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
793,Diesel,SUV,80000,Automatic,2,Mahindra,Mahindra XUV500,2016,900000.0,2016,Third Party insurance,Diesel,7,Second Owner,Automatic,2016,16.0,1997.0,82bhp@6000rpm,320.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
794,Cng,MUV,20000,Manual,1,Maruti,Maruti Ertiga,2022,1300000.0,2022,Third Party insurance,CNG,7,First Owner,Manual,2022,26.11,1462.0,82bhp@6000rpm,121.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
795,Cng,Sedan,50000,Manual,2,Maruti,Maruti SX4,2014,300000.0,2014,Third Party insurance,CNG,5,Second Owner,Manual,2014,22.1,1586.0,82bhp@6000rpm,122.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
796,Petrol,Sedan,28000,Automatic,1,Jaguar,Jaguar XE,2019,3675000.0,2019,Comprehensive,Petrol,5,First Owner,Automatic,2019,13.5,1999.0,82bhp@6000rpm,365.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
797,Petrol,Sedan,40000,Manual,1,Maruti,Maruti Swift Dzire,2020,670000.0,2020,Third Party insurance,Petrol,5,First Owner,Manual,2020,21.21,1197.0,82bhp@6000rpm,113.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
798,Petrol,Hatchback,10000,Manual,1,Maruti,Maruti Baleno,2020,900000.0,2020,Third Party insurance,Petrol,5,First Owner,Manual,2020,21.01,1197.0,82bhp@6000rpm,113.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
799,Petrol,Hatchback,60000,Manual,1,Maruti,Maruti Baleno,2016,600000.0,2016,Third Party insurance,Petrol,5,First Owner,Manual,2016,21.4,1197.0,82bhp@6000rpm,115.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
